,f1-score,precision,recall,support,predicted,AUC
0,0.8775,1.0,0.7925,6.0,4.75,1.0
1,0.9425,0.9275,0.9575,23.25,24.0,0.997541431343472
2,0.9450000000000001,0.9,1.0,20.25,22.5,0.9953290343915344
3,0.9075000000000001,0.94,0.88,16.5,15.5,0.9653970380525091
4,0.96,1.0,0.9225,9.75,9.0,1.0
macro avg,0.925,0.9524999999999999,0.91,75.75,,
weighted avg,0.9325,0.9375,0.935,75.75,,
accuracy,0.935,,,,,
0,0.0,0.0,0.0,2.0,,0.5819746376811594
1,0.71,0.6924999999999999,0.7424999999999999,7.75,8.25,0.8754814425770308
2,0.6525,0.635,0.695,6.75,7.75,0.8589285714285714
3,0.665,0.595,0.765,5.5,7.25,0.8660745614035087
4,0.75,1.0,0.6475,3.25,2.0,0.9554924242424243
macro avg,0.555,0.585,0.5675,25.25,,
weighted avg,0.6325,0.6425,0.6649999999999999,25.25,,
accuracy,0.6649999999999999,,,,,
