,f1-score,precision,recall,support,predicted,AUC
0,0.9325000000000001,1.0,0.8725,6.0,5.25,1.0
1,0.96,0.93,0.99,23.25,24.75,0.9989722686733556
2,0.9625,0.9524999999999999,0.975,20.25,20.75,0.9993303571428571
3,0.9225000000000001,0.9400000000000001,0.9099999999999999,16.5,16.0,0.9858897266533732
4,0.96,1.0,0.9225,9.75,9.0,0.9992003367003367
macro avg,0.9450000000000001,0.9624999999999999,0.9325,75.75,,
weighted avg,0.95,0.9524999999999999,0.95,75.75,,
accuracy,0.95,,,,,
0,0.0,0.0,0.0,2.0,,0.6179800724637681
1,0.6975,0.73,0.71,7.75,8.25,0.901829481792717
2,0.7525,0.685,0.85,6.75,8.5,0.9076388888888889
3,0.75,0.745,0.8175,5.5,7.0,0.9000219298245613
4,0.6000000000000001,0.75,0.5025000000000001,3.25,,0.9517045454545454
macro avg,0.5575,0.585,0.5750000000000001,25.25,,
weighted avg,0.65,0.6599999999999999,0.685,25.25,,
accuracy,0.685,,,,,
