,f1-score,precision,recall,support,predicted,AUC
0,0.8125,1.0,0.7075,6.0,4.25,1.0
1,0.95,0.9325,0.97,23.25,24.25,0.9985699843293158
2,0.9475,0.9025000000000001,1.0,20.25,22.5,0.9968860229276897
3,0.915,0.94,0.895,16.5,15.75,0.9698056871053506
4,0.96,1.0,0.9225,9.75,9.0,1.0
macro avg,0.915,0.955,0.8975,75.75,,
weighted avg,0.9299999999999999,0.9375,0.935,75.75,,
accuracy,0.935,,,,,
0,0.0,0.0,0.0,2.0,,0.5543478260869565
1,0.6875,0.65,0.745,7.75,9.0,0.856486344537815
2,0.7150000000000001,0.725,0.74,6.75,7.0,0.9013888888888888
3,0.6749999999999999,0.6225,0.765,5.5,7.25,0.844078947368421
4,0.7675000000000001,1.0,0.6275,3.25,2.0,0.9545454545454546
macro avg,0.5700000000000001,0.5975,0.575,25.25,,
weighted avg,0.65,0.6575,0.675,25.25,,
accuracy,0.675,,,,,
