,f1-score,precision,recall,support,predicted,AUC
0,0.7525,1.0,0.625,6.0,3.75,0.9994047619047619
1,0.9175,0.875,0.97,23.25,26.0,0.9977877647714604
2,0.95,0.9325000000000001,0.975,20.25,21.25,0.9986634700176367
3,0.9,0.9075,0.895,16.5,16.25,0.969725459039548
4,0.9325000000000001,1.0,0.8724999999999999,9.75,8.5,0.9988636363636364
macro avg,0.89,0.9424999999999999,0.8674999999999999,75.75,,
weighted avg,0.9125000000000001,0.9249999999999999,0.9125000000000001,75.75,,
accuracy,0.9125000000000001,,,,,
0,0.0,0.0,0.0,2.0,,0.6530797101449275
1,0.665,0.6525000000000001,0.71,7.75,8.75,0.8683619281045751
2,0.6575,0.655,0.665,6.75,7.0,0.8612103174603174
3,0.6675,0.6124999999999999,0.765,5.5,7.5,0.8293859649122808
4,0.75,1.0,0.6475,3.25,2.0,0.9289772727272727
macro avg,0.5449999999999999,0.5825,0.5575000000000001,25.25,,
weighted avg,0.6175,0.6375,0.645,25.25,,
accuracy,0.645,,,,,
