,f1-score,precision,recall,support,predicted,AUC
0,0.905,1.0,0.8325,6.0,5.0,1.0
1,0.96,0.92,1.0,23.25,25.25,0.999599358974359
2,0.98,0.95,1.0,20.25,21.25,1.0
3,0.9,0.94,0.8624999999999999,16.5,15.25,0.9701998172150217
4,0.96,1.0,0.9225,9.75,9.0,1.0
macro avg,0.9375,0.9624999999999999,0.9225,75.75,,
weighted avg,0.9475,0.95,0.9475,75.75,,
accuracy,0.9475,,,,,
0,0.0,0.0,0.0,2.0,,0.657608695652174
1,0.7324999999999999,0.6699999999999999,0.835,7.75,10.0,0.8925215919701214
2,0.6075,0.6325,0.5824999999999999,6.75,6.25,0.8291666666666666
3,0.6625,0.6075,0.7575000000000001,5.5,7.25,0.8462500000000001
4,0.675,1.0,0.5625,3.25,1.75,0.9384469696969697
macro avg,0.5375,0.5825,0.5475,25.25,,
weighted avg,0.6225,0.64,0.655,25.25,,
accuracy,0.655,,,,,
