,f1-score,precision,recall,support,predicted,AUC
0,0.5325,1.0,0.375,6.0,2.25,0.9928571428571429
1,0.8875,0.8025,1.0,23.25,29.0,1.0
2,0.9725,0.945,1.0,20.25,21.5,1.0
3,0.8475,0.875,0.8175,16.5,15.5,0.97852743851778
4,0.78,0.9075,0.6925,9.75,7.5,0.9921296296296296
macro avg,0.8049999999999999,0.9075000000000001,0.78,75.75,,
weighted avg,0.8575,0.8825000000000001,0.87,75.75,,
accuracy,0.87,,,,,
0,0.0,0.0,0.0,2.0,,0.48029891304347827
1,0.6725000000000001,0.5475,0.8775,7.75,12.5,0.8770278944911298
2,0.645,0.67,0.6325000000000001,6.75,6.25,0.9078373015873017
3,0.5025,0.6675,0.44999999999999996,5.5,4.25,0.7450877192982456
4,0.635,0.875,0.5425,3.25,2.25,0.8787878787878788
macro avg,0.4925,0.55,0.5,25.25,,
weighted avg,0.5700000000000001,0.6025,0.605,25.25,,
accuracy,0.605,,,,,
