,f1-score,precision,recall,support,predicted,AUC
0,0.845,1.0,0.75,6.0,4.5,0.993452380952381
1,0.97,0.95,0.99,23.25,24.25,0.9983522446414673
2,0.92,0.86,0.9875,20.25,23.25,0.9944279100529101
3,0.895,0.9125,0.8799999999999999,16.5,16.0,0.9901477858092389
4,0.8574999999999999,0.97,0.7699999999999999,9.75,7.75,0.9906986531986532
macro avg,0.8975,0.94,0.8775,75.75,,
weighted avg,0.915,0.925,0.915,75.75,,
accuracy,0.915,,,,,
0,0.0,0.0,0.0,2.0,,0.7259963768115942
1,0.7899999999999999,0.8099999999999999,0.7775,7.75,7.5,0.9438025210084033
2,0.6525,0.5225000000000001,0.8949999999999999,6.75,11.75,0.8660714285714286
3,0.525,0.72,0.4825,5.5,4.25,0.8401754385964912
4,0.5675000000000001,0.6675,0.5025000000000001,3.25,,0.8674242424242424
macro avg,0.505,0.545,0.53,25.25,,
weighted avg,0.6,0.6225,0.645,25.25,,
accuracy,0.645,,,,,
