,f1-score,precision,recall,support,predicted,AUC
0,0.8175000000000001,1.0,0.71,6.0,4.25,0.9970238095238095
1,0.955,0.9099999999999999,1.0,23.25,25.5,0.9946125449611914
2,0.985,0.9624999999999999,1.0,20.25,21.0,1.0
3,0.915,0.9275,0.9099999999999999,16.5,16.25,0.9957159770687936
4,0.9175,0.9725,0.8725,9.75,8.75,0.9976430976430977
macro avg,0.9175,0.955,0.8975,75.75,,
weighted avg,0.9349999999999999,0.9424999999999999,0.9424999999999999,75.75,,
accuracy,0.9424999999999999,,,,,
0,0.0,0.0,0.0,2.0,,0.6721014492753623
1,0.6499999999999999,0.6325000000000001,0.7775,7.75,9.75,0.9175857843137254
2,0.655,0.6175,0.7425,6.75,8.5,0.860813492063492
3,0.575,0.625,0.5825,5.5,5.5,0.8215570175438598
4,0.4925,0.6675,0.4175,3.25,,0.9071969696969697
macro avg,0.47500000000000003,0.5075000000000001,0.505,25.25,,
weighted avg,0.56,0.5725,0.6150000000000001,25.25,,
accuracy,0.6150000000000001,,,,,
