,f1-score,precision,recall,support,predicted,AUC
0,0.46,0.75,0.3325,6.0,,0.9910714285714286
1,0.9225,0.8574999999999999,1.0,23.25,27.25,0.9987615952546223
2,0.9550000000000001,0.915,1.0,20.25,22.25,1.0
3,0.8925000000000001,0.8975000000000001,0.8925,16.5,16.5,0.9951595733632436
4,0.7925,0.915,0.72,9.75,7.75,0.9867424242424243
macro avg,0.8049999999999999,0.8674999999999999,0.79,75.75,,
weighted avg,0.87,0.88,0.885,75.75,,
accuracy,0.885,,,,,
0,0.0,0.0,0.0,2.0,,0.5765398550724637
1,0.655,0.5775,0.78,7.75,10.5,0.8374912464985993
2,0.7175,0.635,0.8474999999999999,6.75,9.25,0.9136904761904762
3,0.5175000000000001,0.75,0.40750000000000003,5.5,3.25,0.814780701754386
4,0.7350000000000001,0.9175,0.6275,3.25,2.25,0.8863636363636364
macro avg,0.525,0.5725,0.53,25.25,,
weighted avg,0.6,0.6275,0.635,25.25,,
accuracy,0.635,,,,,
