,f1-score,precision,recall,support,predicted,AUC
0,0.64,1.0,0.5025,6.0,3.0,0.9994047619047619
1,0.8975,0.8175000000000001,1.0,23.25,28.75,0.9995898277276456
2,0.9524999999999999,0.9275,0.9875,20.25,21.75,0.9995535714285715
3,0.8925000000000001,0.9825,0.82,16.5,13.75,0.9921373899135926
4,0.845,0.9175,0.795,9.75,8.5,0.9837962962962964
macro avg,0.8450000000000001,0.93,0.82,75.75,,
weighted avg,0.885,0.9125000000000001,0.8925,75.75,,
accuracy,0.8925,,,,,
0,0.0,0.0,0.0,2.0,,0.620697463768116
1,0.6499999999999999,0.575,0.77,7.75,10.75,0.8642769607843137
2,0.6725000000000001,0.6425,0.7074999999999999,6.75,7.5,0.8779761904761905
3,0.4675,0.525,0.4825,5.5,5.5,0.7074999999999999
4,0.4925,0.6675,0.4175,3.25,,0.8683712121212122
macro avg,0.45999999999999996,0.48000000000000004,0.4775,25.25,,
weighted avg,0.54,0.54,0.5850000000000001,25.25,,
accuracy,0.5850000000000001,,,,,
