,f1-score,precision,recall,support,predicted,AUC
0,0.44000000000000006,0.75,0.33499999999999996,6.0,,0.9827380952380953
1,0.9325,0.905,0.9675,23.25,25.0,0.9985446772259734
2,0.905,0.8300000000000001,1.0,20.25,24.5,0.9993331128747795
3,0.835,0.875,0.8025,16.5,15.25,0.9865912678630775
4,0.8250000000000001,0.87,0.795,9.75,9.0,0.9910353535353535
macro avg,0.7875,0.845,0.7799999999999999,75.75,,
weighted avg,0.8525,0.8625,0.8675,75.75,,
accuracy,0.8675,,,,,
0,0.0,0.0,0.0,2.0,,0.6422101449275361
1,0.75,0.76,0.81,7.75,8.75,0.8698062558356676
2,0.4875,0.45749999999999996,0.5449999999999999,6.75,8.75,0.7697420634920635
3,0.45999999999999996,0.49250000000000005,0.44999999999999996,5.5,5.5,0.6624122807017544
4,0.635,0.875,0.5425,3.25,2.25,0.918560606060606
macro avg,0.47,0.5175000000000001,0.47,25.25,,
weighted avg,0.5475,0.5825,0.5650000000000001,25.25,,
accuracy,0.5650000000000001,,,,,
