,f1-score,precision,recall,support,predicted,AUC
0,0.5325,1.0,0.375,6.0,2.25,0.993452380952381
1,0.9299999999999999,0.8875,0.98,23.25,25.75,0.9987615952546223
2,0.925,0.8725,0.9875,20.25,23.0,0.9941964285714286
3,0.8724999999999999,0.8675,0.8775,16.5,16.75,0.9881805105516783
4,0.76,0.8574999999999999,0.6925000000000001,9.75,8.0,0.992929292929293
macro avg,0.8025,0.895,0.7825,75.75,,
weighted avg,0.865,0.885,0.8775000000000001,75.75,,
accuracy,0.8775000000000001,,,,,
0,0.0,0.0,0.0,2.0,,0.6370018115942029
1,0.635,0.615,0.71,7.75,9.75,0.8172414799253034
2,0.5650000000000001,0.5375,0.6625,6.75,9.0,0.7808531746031746
3,0.455,0.525,0.4175,5.5,4.25,0.7642105263157895
4,0.6425000000000001,0.875,0.5650000000000001,3.25,2.25,0.9460227272727273
macro avg,0.46,0.51,0.4675,25.25,,
weighted avg,0.5275,0.5625,0.555,25.25,,
accuracy,0.555,,,,,
