,f1-score,precision,recall,support,predicted,AUC
0,0.5650000000000001,1.0,0.4175,6.0,2.5,0.9946428571428572
1,0.9125,0.86,0.98,23.25,26.75,0.9993807976273111
2,0.885,0.82,0.9750000000000001,20.25,24.25,0.9982142857142857
3,0.8775,0.9475,0.8225,16.5,14.25,0.9826297150216018
4,0.7874999999999999,0.8875000000000001,0.72,9.75,8.0,0.9933501683501683
macro avg,0.8075,0.9025000000000001,0.7799999999999999,75.75,,
weighted avg,0.8525,0.8825000000000001,0.8674999999999999,75.75,,
accuracy,0.8674999999999999,,,,,
0,0.0,0.0,0.0,2.0,,0.5502717391304348
1,0.55,0.51,0.6224999999999999,7.75,9.5,0.7877421802054154
2,0.56,0.5375,0.5874999999999999,6.75,7.5,0.7955357142857142
3,0.47,0.5,0.49,5.5,5.75,0.7685526315789474
4,0.6025,0.7925,0.5425,3.25,2.5,0.9251893939393938
macro avg,0.435,0.4675,0.44749999999999995,25.25,,
weighted avg,0.495,0.51,0.525,25.25,,
accuracy,0.525,,,,,
