,f1-score,precision,recall,support,predicted,AUC
0,0.5125000000000001,1.0,0.37749999999999995,6.0,2.25,0.9904761904761905
1,0.9325,0.8825,0.99,23.25,26.25,0.9991757114911339
2,0.9225000000000001,0.865,0.9875,20.25,23.25,0.9991071428571429
3,0.8875000000000001,0.9500000000000001,0.8325,16.5,14.5,0.9855028664007978
4,0.855,0.8725,0.845,9.75,9.5,0.994486531986532
macro avg,0.8200000000000001,0.9149999999999999,0.8074999999999999,75.75,,
weighted avg,0.875,0.9,0.8875000000000001,75.75,,
accuracy,0.8875000000000001,,,,,
0,0.0,0.0,0.0,2.0,,0.4649003623188406
1,0.6174999999999999,0.555,0.715,7.75,10.0,0.8565447012138189
2,0.5399999999999999,0.5625,0.525,6.75,6.5,0.7918650793650794
3,0.3925,0.39749999999999996,0.44,5.5,6.75,0.7041447368421052
4,0.43499999999999994,0.5425,0.4175,3.25,,0.959280303030303
macro avg,0.395,0.41000000000000003,0.4175,25.25,,
weighted avg,0.4675,0.465,0.505,25.25,,
accuracy,0.505,,,,,
