,f1-score,precision,recall,support,predicted,AUC
0,0.905,1.0,0.8325,6.0,5.0,1.0
1,0.94,0.9025,0.98,23.25,25.25,0.9981693433036747
2,0.965,0.9425000000000001,0.9875,20.25,21.25,0.9995535714285715
3,0.9424999999999999,0.985,0.91,16.5,15.25,0.9800162013958125
4,0.96,1.0,0.9225,9.75,9.0,0.9976851851851852
macro avg,0.9425000000000001,0.9674999999999999,0.9224999999999999,75.75,,
weighted avg,0.9450000000000001,0.95,0.9450000000000001,75.75,,
accuracy,0.9450000000000001,,,,,
0,0.0,0.0,0.0,2.0,,0.558197463768116
1,0.6775,0.625,0.7775,7.75,9.75,0.9150764472455649
2,0.67,0.6725,0.705,6.75,7.25,0.8690476190476191
3,0.6725,0.705,0.715,5.5,7.0,0.8785087719298246
4,0.42500000000000004,0.625,0.3325,3.25,,0.9053030303030303
macro avg,0.48750000000000004,0.525,0.505,25.25,,
weighted avg,0.5850000000000001,0.5975,0.625,25.25,,
accuracy,0.625,,,,,
