,f1-score,precision,recall,support,predicted,AUC
0,0.8175,1.0,0.71,6.0,4.25,1.0
1,0.95,0.93,0.97,23.25,24.25,0.9975335434151574
2,0.9225000000000001,0.8775000000000001,0.975,20.25,22.5,0.9984485229276896
3,0.9275,0.9525,0.91,16.5,15.75,0.984770428298438
4,0.96,1.0,0.9225,9.75,9.0,0.9996212121212121
macro avg,0.915,0.95,0.895,75.75,,
weighted avg,0.9275,0.9375,0.9299999999999999,75.75,,
accuracy,0.9299999999999999,,,,,
0,0.0,0.0,0.0,2.0,,0.45471014492753625
1,0.6425,0.6325000000000001,0.7124999999999999,7.75,9.0,0.8651231325863679
2,0.58,0.5825,0.595,6.75,7.0,0.8534722222222222
3,0.6275,0.5875,0.715,5.5,7.5,0.8549342105263158
4,0.675,1.0,0.5625,3.25,1.75,0.9526515151515151
macro avg,0.505,0.5625,0.515,25.25,,
weighted avg,0.5725,0.605,0.6050000000000001,25.25,,
accuracy,0.6050000000000001,,,,,
