,f1-score,precision,recall,support,predicted,AUC
0,0.9325000000000001,1.0,0.8725,6.0,5.25,1.0
1,0.9500000000000001,0.9550000000000001,0.9450000000000001,23.25,23.0,0.9968882122799267
2,0.9425,0.895,1.0,20.25,22.75,0.9997767857142857
3,0.93,0.9525,0.9099999999999999,16.5,15.75,0.9805017239946827
4,0.96,1.0,0.9225,9.75,9.0,0.9988215488215488
macro avg,0.9450000000000001,0.9625,0.9299999999999999,75.75,,
weighted avg,0.9424999999999999,0.9475,0.9424999999999999,75.75,,
accuracy,0.9424999999999999,,,,,
0,0.0,0.0,0.0,2.0,,0.5423460144927537
1,0.7075,0.6675,0.7725,7.75,9.25,0.8510883520074697
2,0.6124999999999999,0.61,0.615,6.75,6.75,0.8365079365079365
3,0.735,0.7175,0.8075,5.5,7.0,0.9042982456140352
4,0.7150000000000001,0.9375,0.6475,3.25,2.25,0.9299242424242424
macro avg,0.5525,0.5850000000000001,0.5675,25.25,,
weighted avg,0.6325,0.645,0.665,25.25,,
accuracy,0.665,,,,,
