,f1-score,precision,recall,support,predicted,AUC
0,0.8775,1.0,0.7925,6.0,4.75,1.0
1,0.9375,0.93,0.95,23.25,23.75,0.9989809782608696
2,0.9275,0.87,1.0,20.25,23.5,1.0
3,0.92,0.97,0.88,16.5,15.0,0.9688735875706214
4,0.9450000000000001,1.0,0.8975,9.75,8.75,0.9988215488215488
macro avg,0.9225,0.9550000000000001,0.9025,75.75,,
weighted avg,0.9275000000000001,0.9375,0.925,75.75,,
accuracy,0.925,,,,,
0,0.0,0.0,0.0,2.0,,0.548233695652174
1,0.6,0.56,0.6749999999999999,7.75,9.75,0.8370827497665734
2,0.57,0.525,0.63,6.75,8.25,0.8293650793650793
3,0.575,0.6575,0.5825,5.5,6.25,0.8414473684210526
4,0.45,0.75,0.3325,3.25,,0.868371212121212
macro avg,0.44,0.4975,0.445,25.25,,
weighted avg,0.515,0.5425,0.545,25.25,,
accuracy,0.545,,,,,
