,f1-score,precision,recall,support,predicted,AUC
0,0.5225,1.0,0.37500000000000006,6.0,2.25,0.9486111111111111
1,0.7024999999999999,0.6675000000000001,0.795,23.25,30.0,0.9670652699774931
2,0.8049999999999999,0.7625,0.865,20.25,23.5,0.9602292768959435
3,0.6925,0.8075,0.6875,16.5,16.25,0.9679765391326023
4,0.5549999999999999,1.0,0.385,9.75,3.75,0.9958333333333333
macro avg,0.655,0.85,0.6225,75.75,,
weighted avg,0.695,0.7949999999999999,0.7024999999999999,75.75,,
accuracy,0.7024999999999999,,,,,
0,0.0,0.0,0.0,2.0,,0.6697237318840581
1,0.35500000000000004,0.26,0.5775,7.75,,0.8055555555555556
2,0.54,0.5700000000000001,0.5874999999999999,6.75,9.75,0.6555555555555557
3,0.1725,0.1875,0.165,5.5,,0.7628618421052631
4,0.0,0.0,0.0,3.25,,0.8513257575757576
macro avg,0.215,0.2025,0.2675,25.25,,
weighted avg,0.2975,0.28250000000000003,0.3775,25.25,,
accuracy,0.3775,,,,,
